anchor_date,gate_patch_5,gate_patch_10,gate_patch_20,gate_patch_30
2024-03-01,0.32476988,0.24622327,0.2231912,0.20581566
2024-03-04,0.38051084,0.22472413,0.18552816,0.20923683
2024-03-05,0.38614693,0.20185699,0.17462432,0.23737177
2024-03-06,0.3982537,0.19659215,0.16206619,0.24308798
2024-03-07,0.41328183,0.16257496,0.14404786,0.28009534
2024-03-08,0.41514423,0.1420655,0.15304399,0.28974625
2024-03-11,0.44367835,0.13222934,0.12053572,0.3035566
2024-03-12,0.34416375,0.18096891,0.111592874,0.36327448
2024-03-13,0.30661485,0.19163999,0.11610076,0.3856444
2024-03-14,0.30289823,0.22351895,0.14303826,0.33054453
2024-03-15,0.27024174,0.22312902,0.17504796,0.3315813
2024-03-18,0.25911,0.22898842,0.19146655,0.32043496
2024-03-19,0.32081944,0.21218547,0.20480616,0.26218885
2024-03-20,0.3186462,0.18368323,0.25346994,0.24420065
2024-03-21,0.34028777,0.16833079,0.2771588,0.21422264
2024-03-22,0.34752798,0.18505429,0.25073475,0.21668299
2024-03-25,0.36618277,0.18515648,0.24381337,0.2048474
2024-03-26,0.3471341,0.2202343,0.22252893,0.21010265
2024-03-27,0.40379518,0.18373504,0.18566272,0.22680707
2024-03-28,0.34623832,0.27238268,0.15856387,0.22281511
2024-04-01,0.36989588,0.2878593,0.119060956,0.22318393
2024-04-02,0.3841516,0.3020396,0.11269948,0.20110929
2024-04-03,0.45895424,0.2938135,0.08557287,0.16165935
2024-04-04,0.4682225,0.29956147,0.07410147,0.15811457
2024-04-05,0.47215465,0.28712377,0.07811016,0.16261148
2024-04-08,0.41972655,0.33346274,0.08275739,0.16405329
2024-04-09,0.40820128,0.28569186,0.09002968,0.21607713
2024-04-10,0.32744157,0.3178363,0.10432587,0.25039622
2024-04-11,0.30588686,0.32205328,0.09522383,0.27683604
2024-04-12,0.31317836,0.31210282,0.12009043,0.25462836
2024-04-15,0.2940481,0.29394385,0.13113965,0.2808684
2024-04-16,0.27558768,0.27018297,0.18184671,0.2723827
2024-04-17,0.29451817,0.24549782,0.21029457,0.2496894
2024-04-18,0.27536154,0.25999102,0.2182817,0.24636582
2024-04-19,0.25582623,0.28027445,0.21146755,0.25243175
2024-04-22,0.22054231,0.28826442,0.20948099,0.28171232
2024-04-23,0.20867802,0.2872556,0.2095555,0.2945109
