anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_10,gate_patch_12
2024-03-01,0.03003361,0.12459141,0.13965556,0.5667787,0.13894075
2024-03-04,0.049048185,0.17235348,0.10546115,0.48401114,0.1891261
2024-03-05,0.090305746,0.32409614,0.105629385,0.2444796,0.2354892
2024-03-06,0.20301138,0.35037857,0.099994205,0.12049495,0.2261209
2024-03-07,0.2516113,0.3503583,0.13842106,0.06365176,0.1959576
2024-03-08,0.49192068,0.20037419,0.12279374,0.04726277,0.13764864
2024-03-11,0.42875457,0.17359641,0.16814455,0.06658548,0.16291898
2024-03-12,0.30896294,0.24763289,0.14214319,0.10123869,0.20002225
2024-03-13,0.301256,0.20971636,0.20690982,0.10450019,0.17761767
2024-03-14,0.4124797,0.16016099,0.15561719,0.08926735,0.18247482
2024-03-15,0.25991964,0.09657216,0.3012111,0.12331815,0.21897891
2024-03-18,0.25409165,0.13569391,0.31494263,0.14069965,0.15457213
2024-03-19,0.14768638,0.09862001,0.35714686,0.1592616,0.2372852
2024-03-20,0.15900324,0.09106907,0.35231584,0.17410983,0.223502
2024-03-21,0.13650107,0.069560096,0.33987996,0.24942243,0.20463642
2024-03-22,0.03892981,0.08236732,0.23791684,0.43112746,0.20965856
2024-03-25,0.038198527,0.08098037,0.16053276,0.52765673,0.19263159
2024-03-26,0.031865273,0.0786055,0.15108547,0.5559369,0.18250698
2024-03-27,0.028499948,0.2448549,0.088702165,0.3969618,0.24098122
2024-03-28,0.06082208,0.25098595,0.11344552,0.27262443,0.3021221
2024-04-01,0.11940284,0.42533925,0.120827444,0.17434627,0.16008417
2024-04-02,0.25093168,0.31116,0.10126782,0.17162433,0.16501613
2024-04-03,0.28772637,0.30657956,0.11449224,0.12322823,0.16797364
2024-04-04,0.32316345,0.36860025,0.079165384,0.059593823,0.16947709
2024-04-05,0.24223709,0.33140802,0.1295015,0.06319537,0.23365799
2024-04-08,0.33149815,0.39307156,0.10969496,0.04320234,0.122532934
