anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12
2024-03-01,0.047326975,0.13697568,0.55312955,0.26256776
2024-03-04,0.11748169,0.095748365,0.5595554,0.22721453
2024-03-05,0.07853793,0.23974067,0.280523,0.40119842
2024-03-06,0.14342606,0.16515806,0.24689198,0.44452387
2024-03-07,0.09559311,0.19942273,0.33397803,0.37100613
2024-03-08,0.11796997,0.2101131,0.18551584,0.48640105
2024-03-11,0.11104756,0.18239434,0.31927827,0.3872799
2024-03-12,0.08858416,0.11663083,0.5749887,0.21979634
2024-03-13,0.09293947,0.181912,0.33732635,0.38782215
2024-03-14,0.14057027,0.1396235,0.17707705,0.5427292
2024-03-15,0.16217004,0.13198632,0.2002757,0.5055679
2024-03-18,0.12954931,0.17290165,0.19279136,0.50475764
2024-03-19,0.22851606,0.12079716,0.1678984,0.48278835
2024-03-20,0.1634496,0.13851832,0.30360115,0.39443097
2024-03-21,0.11370834,0.22038357,0.081752434,0.58415574
2024-03-22,0.1805871,0.09894721,0.4674188,0.25304693
2024-03-25,0.042393323,0.16805868,0.47967005,0.30987796
2024-03-26,0.18529473,0.12460444,0.26895043,0.42115048
2024-03-27,0.06414688,0.16105047,0.51909333,0.25570932
2024-03-28,0.12199509,0.16030768,0.45556894,0.26212832
2024-04-01,0.0709823,0.13144746,0.6080327,0.18953745
2024-04-02,0.07571727,0.18242025,0.35968372,0.38217875
2024-04-03,0.19390194,0.13884985,0.2784905,0.38875765
2024-04-04,0.12590156,0.20425944,0.10660392,0.56323504
2024-04-05,0.1655596,0.09416322,0.4703875,0.26988977
2024-04-08,0.04575188,0.1394134,0.61285436,0.20198046
2024-04-09,0.12762247,0.1625942,0.37366462,0.33611876
2024-04-10,0.086785115,0.13753365,0.52309453,0.25258666
2024-04-11,0.06979022,0.13273412,0.5722279,0.2252477
2024-04-12,0.09853857,0.21041095,0.22800823,0.46304223
2024-04-15,0.30138156,0.10302477,0.22942437,0.3661693
2024-04-16,0.097650565,0.13693994,0.28843352,0.47697598
2024-04-17,0.12520823,0.15299346,0.17507137,0.546727
2024-04-18,0.16183308,0.12154077,0.23403007,0.48259604
2024-04-19,0.1772033,0.06237869,0.50664186,0.25377607
2024-04-22,0.09553312,0.24131611,0.27750963,0.38564113
2024-04-23,0.13254559,0.12520123,0.3586935,0.38355967
2024-04-24,0.08859365,0.11503585,0.5301857,0.26618484
2024-04-25,0.06488807,0.15133479,0.5409954,0.24278176
2024-04-26,0.06958399,0.17114335,0.20280942,0.5564632
2024-04-29,0.25884002,0.10326852,0.31665042,0.321241
2024-04-30,0.085369505,0.14085808,0.49477503,0.27899733
2024-05-01,0.107163414,0.17491497,0.33943975,0.37848184
2024-05-02,0.10084626,0.15233013,0.09410316,0.65272045
2024-05-03,0.2659828,0.14164405,0.17150223,0.42087096
2024-05-06,0.094125174,0.13355625,0.5156994,0.25661913
2024-05-07,0.08409365,0.096101195,0.5934394,0.22636575
2024-05-08,0.076232426,0.14033106,0.45168078,0.3317558
2024-05-09,0.13778932,0.18064898,0.30808666,0.37347504
2024-05-10,0.12811552,0.17505957,0.09538275,0.6014421
2024-05-13,0.23623334,0.08220003,0.40495825,0.27660838
2024-05-14,0.057534464,0.14206876,0.3812866,0.4191103
2024-05-15,0.13744779,0.15130123,0.21881504,0.4924359
2024-05-16,0.110391974,0.11115121,0.43053564,0.34792113
2024-05-17,0.08435068,0.15481147,0.5301485,0.23068927
2024-05-20,0.09350943,0.15050618,0.2993823,0.45660222
2024-05-21,0.07579572,0.18340768,0.3792844,0.36151218
2024-05-22,0.12621719,0.13920175,0.4641366,0.27044442
2024-05-23,0.08270262,0.082338825,0.67336816,0.16159037
2024-05-24,0.06947605,0.19937542,0.49681824,0.23433036
2024-05-28,0.13488027,0.16780321,0.3779656,0.3193509
2024-05-29,0.06534933,0.10697295,0.623891,0.20378672
2024-05-30,0.09126519,0.19681308,0.37592208,0.33599967
2024-05-31,0.10439247,0.2223875,0.31052572,0.3626943
2024-06-03,0.1372893,0.16423102,0.16030635,0.53817344
2024-06-04,0.16048524,0.08905951,0.36553198,0.38492325
2024-06-05,0.05852735,0.1385073,0.45830563,0.34465978
2024-06-06,0.15532559,0.12644795,0.44565487,0.27257156
2024-06-07,0.08744151,0.10919877,0.5857479,0.21761188
2024-06-10,0.11009935,0.18925454,0.24510849,0.45553765
2024-06-11,0.11715148,0.09667143,0.40540984,0.3807673
2024-06-12,0.09360006,0.10111836,0.58854175,0.21673985
2024-06-13,0.07268589,0.106913105,0.6587532,0.16164775
2024-06-14,0.079562336,0.1644156,0.46845406,0.28756797
2024-06-17,0.13379097,0.1531827,0.17938417,0.5336421
2024-06-18,0.14324692,0.13128127,0.35267627,0.37279555
2024-06-20,0.1286858,0.15478541,0.23821741,0.47831127
2024-06-21,0.20442712,0.12876326,0.19987735,0.46693236
2024-06-24,0.12840961,0.10662028,0.2686386,0.4963315
2024-06-25,0.10810803,0.14901976,0.38129482,0.36157736
2024-06-26,0.10664953,0.09907565,0.33000866,0.46426615
2024-06-27,0.15821494,0.16142286,0.2497582,0.430604
2024-06-28,0.12627995,0.13216788,0.23921488,0.5023373
2024-07-01,0.18975466,0.14391553,0.3252652,0.34106454
2024-07-02,0.10738678,0.1980772,0.22813036,0.46640566
2024-07-03,0.13692035,0.12890983,0.20304929,0.53112054
2024-07-05,0.17431635,0.11015372,0.08338056,0.6321494
2024-07-08,0.3422398,0.06811031,0.27693936,0.3127105
2024-07-09,0.074925765,0.23056291,0.31656355,0.37794772
2024-07-10,0.1267104,0.09238443,0.5962076,0.18469758
2024-07-11,0.0713855,0.1924237,0.40229347,0.33389732
2024-07-12,0.123088285,0.16694687,0.46375844,0.24620643
2024-07-15,0.049908664,0.12187217,0.6370049,0.19121426
2024-07-16,0.14842583,0.19587696,0.25272527,0.40297192
2024-07-17,0.12241652,0.13706826,0.2855369,0.45497835
2024-07-18,0.1524741,0.13424464,0.3678912,0.3453901
2024-07-19,0.12800774,0.15978754,0.20327052,0.5089342
2024-07-22,0.11826551,0.14540522,0.3075928,0.42873648
2024-07-23,0.11884878,0.13874157,0.48176512,0.26064453
2024-07-24,0.05818141,0.11684977,0.62829125,0.19667755
2024-07-25,0.0712856,0.115544185,0.6605295,0.15264073
2024-07-26,0.061424203,0.16795342,0.48434806,0.28627428
2024-07-29,0.10882069,0.12800123,0.46165827,0.30151984
2024-07-30,0.09586844,0.1608461,0.48490408,0.25838134
2024-07-31,0.11605213,0.22726138,0.14559284,0.5110936
2024-08-01,0.14048643,0.15688984,0.25086746,0.45175633
