anchor_date,gate_patch_2,gate_patch_4,gate_patch_8,gate_patch_12,gate_patch_13,gate_patch_14
2024-03-01,0.17406881,0.15639071,0.1795805,0.14541304,0.1149841,0.22956286
2024-03-04,0.12105743,0.20716394,0.12352419,0.13678263,0.14788954,0.2635823
2024-03-05,0.12105743,0.20716394,0.12352419,0.13678263,0.14788954,0.2635823
2024-03-06,0.12105743,0.20716394,0.12352419,0.13678263,0.14788954,0.2635823
2024-03-07,0.12105743,0.20716394,0.12352419,0.13678263,0.14788954,0.2635823
2024-03-08,0.12105743,0.20716394,0.12352419,0.13678263,0.14788954,0.2635823
2024-03-11,0.14356732,0.20183818,0.14950414,0.09576269,0.16879646,0.24053125
2024-03-12,0.14356732,0.20183818,0.14950414,0.09576269,0.16879646,0.24053125
2024-03-13,0.14356732,0.20183818,0.14950414,0.09576269,0.16879646,0.24053125
2024-03-14,0.14356732,0.20183818,0.14950414,0.09576269,0.16879646,0.24053125
2024-03-15,0.14356732,0.20183818,0.14950414,0.09576269,0.16879646,0.24053125
2024-03-18,0.19545585,0.2261399,0.16193905,0.114429794,0.1299125,0.17212294
2024-03-19,0.19545585,0.2261399,0.16193905,0.114429794,0.1299125,0.17212294
2024-03-20,0.19545585,0.2261399,0.16193905,0.114429794,0.1299125,0.17212294
2024-03-21,0.19545585,0.2261399,0.16193905,0.114429794,0.1299125,0.17212294
2024-03-22,0.19545585,0.2261399,0.16193905,0.114429794,0.1299125,0.17212294
2024-03-25,0.23798375,0.21183735,0.18944506,0.116748035,0.11130876,0.1326771
2024-03-26,0.23798375,0.21183735,0.18944506,0.116748035,0.11130876,0.1326771
2024-03-27,0.23798375,0.21183735,0.18944506,0.116748035,0.11130876,0.1326771
2024-03-28,0.23798375,0.21183735,0.18944506,0.116748035,0.11130876,0.1326771
2024-04-01,0.2181021,0.16904724,0.20566341,0.149202,0.13206142,0.12592386
2024-04-02,0.2181021,0.16904724,0.20566341,0.149202,0.13206142,0.12592386
2024-04-03,0.2181021,0.16904724,0.20566341,0.149202,0.13206142,0.12592386
2024-04-04,0.2181021,0.16904724,0.20566341,0.149202,0.13206142,0.12592386
2024-04-05,0.2181021,0.16904724,0.20566341,0.149202,0.13206142,0.12592386
2024-04-08,0.14041568,0.18976025,0.20053074,0.1446209,0.19459698,0.13007554
2024-04-09,0.14041568,0.18976025,0.20053074,0.1446209,0.19459698,0.13007554
2024-04-10,0.14041568,0.18976025,0.20053074,0.1446209,0.19459698,0.13007554
2024-04-11,0.14041568,0.18976025,0.20053074,0.1446209,0.19459698,0.13007554
2024-04-12,0.14041568,0.18976025,0.20053074,0.1446209,0.19459698,0.13007554
2024-04-15,0.14514239,0.18658169,0.1575371,0.18360363,0.17614688,0.15098836
2024-04-16,0.14514239,0.18658169,0.1575371,0.18360363,0.17614688,0.15098836
2024-04-17,0.14514239,0.18658169,0.1575371,0.18360363,0.17614688,0.15098836
2024-04-18,0.14514239,0.18658169,0.1575371,0.18360363,0.17614688,0.15098836
2024-04-19,0.14514239,0.18658169,0.1575371,0.18360363,0.17614688,0.15098836
2024-04-22,0.24673776,0.20560543,0.1349569,0.13915163,0.13894781,0.13460045
