[a5] 24 total runs (group x horizon), fusion=concat
[a5] === run 1/24: group=single_hourly freqs=['hourly'] fusion=concat horizon=5d ===
[a5_single_hourly_concat_5d] epoch 001/060 val_loss=18773.00615234 best_val_loss=18773.00615234 bad_epochs=0/8 epoch_time=00:00:12 eta=00:11:27
[a5_single_hourly_concat_5d] epoch 002/060 val_loss=12529.37226562 best_val_loss=12529.37226562 bad_epochs=0/8 epoch_time=00:00:12 eta=00:11:15
[a5_single_hourly_concat_5d] epoch 003/060 val_loss=8752.81425781 best_val_loss=8752.81425781 bad_epochs=0/8 epoch_time=00:00:12 eta=00:11:02
[a5_single_hourly_concat_5d] epoch 004/060 val_loss=5992.18457031 best_val_loss=5992.18457031 bad_epochs=0/8 epoch_time=00:00:12 eta=00:10:51
[a5_single_hourly_concat_5d] epoch 005/060 val_loss=3395.35917969 best_val_loss=3395.35917969 bad_epochs=0/8 epoch_time=00:00:12 eta=00:10:41
[a5_single_hourly_concat_5d] epoch 006/060 val_loss=1249.95433960 best_val_loss=1249.95433960 bad_epochs=0/8 epoch_time=00:00:12 eta=00:10:30
[a5_single_hourly_concat_5d] epoch 007/060 val_loss=309.16495667 best_val_loss=309.16495667 bad_epochs=0/8 epoch_time=00:00:12 eta=00:10:19
[a5_single_hourly_concat_5d] epoch 008/060 val_loss=118.38211823 best_val_loss=118.38211823 bad_epochs=0/8 epoch_time=00:00:12 eta=00:10:08
[a5_single_hourly_concat_5d] epoch 009/060 val_loss=76.50445557 best_val_loss=76.50445557 bad_epochs=0/8 epoch_time=00:00:12 eta=00:09:57
[a5_single_hourly_concat_5d] epoch 010/060 val_loss=77.87871399 best_val_loss=76.50445557 bad_epochs=1/8 epoch_time=00:00:12 eta=00:09:45
[a5_single_hourly_concat_5d] epoch 011/060 val_loss=52.94740829 best_val_loss=52.94740829 bad_epochs=0/8 epoch_time=00:00:12 eta=00:09:35
[a5_single_hourly_concat_5d] epoch 012/060 val_loss=46.40361176 best_val_loss=46.40361176 bad_epochs=0/8 epoch_time=00:00:12 eta=00:09:23
[a5_single_hourly_concat_5d] epoch 013/060 val_loss=39.95409431 best_val_loss=39.95409431 bad_epochs=0/8 epoch_time=00:00:12 eta=00:09:11
[a5_single_hourly_concat_5d] epoch 014/060 val_loss=41.00014420 best_val_loss=39.95409431 bad_epochs=1/8 epoch_time=00:00:12 eta=00:08:59
[a5_single_hourly_concat_5d] epoch 015/060 val_loss=34.63268585 best_val_loss=34.63268585 bad_epochs=0/8 epoch_time=00:00:12 eta=00:08:47
[a5_single_hourly_concat_5d] epoch 016/060 val_loss=31.75869446 best_val_loss=31.75869446 bad_epochs=0/8 epoch_time=00:00:12 eta=00:08:36
[a5_single_hourly_concat_5d] epoch 017/060 val_loss=18.45166340 best_val_loss=18.45166340 bad_epochs=0/8 epoch_time=00:00:12 eta=00:08:24
[a5_single_hourly_concat_5d] epoch 018/060 val_loss=13.83924732 best_val_loss=13.83924732 bad_epochs=0/8 epoch_time=00:00:12 eta=00:08:13
[a5_single_hourly_concat_5d] epoch 019/060 val_loss=13.72192049 best_val_loss=13.72192049 bad_epochs=0/8 epoch_time=00:00:12 eta=00:08:02
[a5_single_hourly_concat_5d] epoch 020/060 val_loss=14.08765965 best_val_loss=13.72192049 bad_epochs=1/8 epoch_time=00:00:12 eta=00:07:50
[a5_single_hourly_concat_5d] epoch 021/060 val_loss=14.57045498 best_val_loss=13.72192049 bad_epochs=2/8 epoch_time=00:00:12 eta=00:07:38
[a5_single_hourly_concat_5d] epoch 022/060 val_loss=16.89044476 best_val_loss=13.72192049 bad_epochs=3/8 epoch_time=00:00:12 eta=00:07:27
[a5_single_hourly_concat_5d] epoch 023/060 val_loss=16.95136280 best_val_loss=13.72192049 bad_epochs=4/8 epoch_time=00:00:12 eta=00:07:15
[a5_single_hourly_concat_5d] epoch 024/060 val_loss=18.71353054 best_val_loss=13.72192049 bad_epochs=5/8 epoch_time=00:00:12 eta=00:07:03
[a5_single_hourly_concat_5d] epoch 025/060 val_loss=19.55796566 best_val_loss=13.72192049 bad_epochs=6/8 epoch_time=00:00:12 eta=00:06:52
[a5_single_hourly_concat_5d] epoch 026/060 val_loss=21.24665642 best_val_loss=13.72192049 bad_epochs=7/8 epoch_time=00:00:12 eta=00:06:40
[a5_single_hourly_concat_5d] epoch 027/060 val_loss=23.13165073 best_val_loss=13.72192049 bad_epochs=8/8 epoch_time=00:00:12 eta=00:06:29
[a5_single_hourly_concat_5d] early stopping at epoch 27
[a5] done group=single_hourly horizon=5d test_mse=2.238723 test_corr=-0.0300 (overall elapsed 00:05:24)
[a5] === run 2/24: group=single_halfday freqs=['halfday'] fusion=concat horizon=5d ===
[a5_single_halfday_concat_5d] epoch 001/060 val_loss=62822.15468750 best_val_loss=62822.15468750 bad_epochs=0/8 epoch_time=00:00:11 eta=00:11:07
[a5_single_halfday_concat_5d] epoch 002/060 val_loss=42803.80156250 best_val_loss=42803.80156250 bad_epochs=0/8 epoch_time=00:00:11 eta=00:10:47
[a5_single_halfday_concat_5d] epoch 003/060 val_loss=33349.56875000 best_val_loss=33349.56875000 bad_epochs=0/8 epoch_time=00:00:11 eta=00:10:33
[a5_single_halfday_concat_5d] epoch 004/060 val_loss=24754.01523438 best_val_loss=24754.01523438 bad_epochs=0/8 epoch_time=00:00:11 eta=00:10:20
[a5_single_halfday_concat_5d] epoch 005/060 val_loss=16810.31230469 best_val_loss=16810.31230469 bad_epochs=0/8 epoch_time=00:00:11 eta=00:10:08
[a5_single_halfday_concat_5d] epoch 006/060 val_loss=8799.87568359 best_val_loss=8799.87568359 bad_epochs=0/8 epoch_time=00:00:11 eta=00:09:56
[a5_single_halfday_concat_5d] epoch 007/060 val_loss=1080.00437012 best_val_loss=1080.00437012 bad_epochs=0/8 epoch_time=00:00:11 eta=00:09:45
